park_id	park_name	park_reg_code	address	lat_lng	city	park_level	park_type	info_16_p_1	main_industry	brief_introduction
11	华西坝大健康（金融）产业功能区	---	四川省成都市一环路南三段80号B座4楼	104.059115,30.640144	成都市	其他重点园区	经开区	医药健康	医疗医美、大健康金融产业	华西坝大健康（金融）产业功能区位于成都市武侯区，是成都双流国际机场进入市区的机场门户、城市“会客厅“和“形象展示带“，是成都经济发展门户和文化展示国际窗口。规划面积12.66平方公里，空间边界东至锦江高攀段，西至浆洗街，北至锦江区行政边界，南至成昆铁路。
12	成都环保应急产业功能区	---	四川省成都市金堂县广东路	104.596015,30.701308	成都市	省级园区	工业园区	新能源与智能汽车,医药健康	节能环保、应急、电力、食品、医药产业	成都环保应急产业功能区位于成都市金堂县，包含成阿工业园区、金堂工业区两个省级工业开发区（金堂工业园区成立于1994年5月，于1994年5月获批省级开发区。成阿工业区成立于2010年7月，于2010年7月获批省级开发区）。规划面积36.8平方公里，建成区面积20.6平方公里。东至金简仁快速路，西至淮白路，北至金堂大道，南至成南高速；涵盖节能环保产业园、应急产业园、物流园区、竹篙园区等产业社区。截止2018年底，园区聚集工业企业500余户，其中规上工业企业181户，2018年园区规上工业企业工业产值191.5亿元，同比增长16.8%。实现主营业务收入167.8亿元，同比增长11.6%,实现利润5亿元，同比增长50%。荣获国家新型工业化产业示范基地、国家环保装备制造基地、全国民族团结进步创建活动示范单位、四川省新型工业化产业示范基地、四川省环保产业示范园、四川最具投资价值产业园区20强、成渝经济区最具投资潜力产业园区等荣誉称号。
13	成都天府国际空港新城	---	四川省成都市简阳市	104.255566,30.282823	成都市	其他重点园区	经开区	航空与燃机	航空制造业、航空现代服务业、航空新经济产业三大主导产业及航空物流、航空研发制造、商务贸易、文体旅游等重点领域	成都天府国际空港新城（简称空港新城）位于成都市东南部、简阳市西部，距成都中心城区约50公里，总规划面积约483平方公里（含成都天府国际机场）,西临龙泉山城市森林公园，北连简州新城、东临简阳城区、南接仁寿县，区域南北最长25.6公里，东西最宽34公里。空港新城内在建成都天府国际机场，预计2021年上半年建成运营，天府奥体城规划建设于园区内。新城内规划建设有再生水厂、变电站、孵化园、人才公寓、国际会议中心、地铁TOD、城市公园、滨湖绿道等基础设施、产业配套和公服配套。空港新城总人口为31.7万人，流动人口6.18万人，2018年实现地区生产总值64.2亿元。2018年，辖区内规模以上工业企业3家,工业产值1.4亿元；限额以上住宿餐饮业3家，实现营业额5341.9万元；资质以上建筑业企业1家，建筑业产值为1.3亿元。
14	成都中德国际精工产业功能区	---	四川省成都市蒲江县寿安街道迎宾大道88号	103.645197,30.263793	成都市	省级园区	高新区	农产品精深加工	精工产业、生态食品及其细分领域	成都中德国际精工产业功能区（中德（蒲江）中小企业合作区）前身是蒲江工业集中发展区。2005年，《成都市人民政府关于切实做好工业集中发展区和工业布局落实工作的通知》（成府发[2005]52号），批复我县设立蒲江工业集中发展区、蒲江寿安工业点；2014年11月，获工业和信息化部中小企业发展促进中心、中国中小企业国际合作协会授牌为“中德（蒲江）中小企业合作园”；2016年7月27日,获工业和信息化部批复同意设立中德（蒲江）中小企业合作区。合作区总规划面积33平方公里，是成都市委、市政府确定的66个产业功能区中重点建设的10个智能制造功能区之一，也是全市重点打造的5个国别合作园区之一。四至范围:北至新蒲路、蒲回路；南至成雅高速；西至清江大道；东至规划道路新园七路。中德（蒲江）中小企业合作区按产城一体与城市规划建设，配套建设有110KV变电站、人才公寓等基础设施。近年来，通过不懈的努力与发展，先后获评“中国包装印刷产业基地”、“全省‘两化互动'示范区”、“全省新型工业化重点培育基地”、“省级开发区”、“四川省国际科技合作基地”和“四川省特色产业（包装和五金）基地”。
15	成都航空经济功能区	S517010	成都市双流区成都机场高速四川航空大厦东侧约130米	103.976261,30.576405	成都市	省级园区	经开区	智能装备	电子信息、新能源、装备制造产业	双流经济开发区（天府空港高技术产业园）成立于1992年5月，是内陆地区最早设立并经国务院核准的省级重点经济开发区。西南航空港经济开发区位于成都市中心城区西南面,地处天府新区、双流东升、西航港三大城市组团之间，紧邻中国第五大国际机场——双流国际机场，产业用地规划面积43.7平方公里,现已开发建设35.7平方公里,是天府新区产业核心承载区。园区规划完善、配套到位，产城一体、宜业宜居，其区域环境在全市、全省乃至中西部地区独具优势。四至范围：A区：东至外环高速路，西街办桂花堰社区一、二组，机场路社区二组，南至成乐大件路，西至川齿路，北至西街办长乐社区九、十组，近都社区一、四组；B区：东至双黄路、南至正公路西沿线、西至黄甲大道及西航港大道南延线、北至双中路以南规划道路。产业园现已形成日供水25万立方，供气200万立方，污水处理30万立方的能力，园区内已建成110干伏以上变电站11座，装机容量达115万千伏安，建成骨架道路248公里，各类管网、通讯、光纤均实现了全覆盖。截至2018年底，园区聚集工业企业419户，其中规上工业企业186户，2018年园区规上工业企业工业产值870亿元，同比增长24%,主营业务收入826亿元、增长22%,工业税收首次突破20亿元、增长17%,经济总量稳居省级产业园区第一。园区获得国家科技兴贸创新基地、国家新能源产业高技术产业基地、国家新能源装备高新技术产业化基地、中国产学研合作创新示范基地、中国新能源产业创新园区、四川省新型工业化产业示范基地、省级人才优先发展试验区、四川省信息安全产业示范园区等荣誉称号。
16	成都医学城	---	成都市温江区杨柳西路与温泉大道三段交叉口南100米	103.850339,30.670415	成都市	省级园区	高新区	医药健康	医药、食品饮料、电子信息产业	成都医学城位于成都市温江区，是成都市66个产业功能区之一，是成都市重要经济增长极。园区成立于1993年12月，于1998年5月获批省级开发区，规划面积35.57平方公里，建成区面积27.12平方公里。四至范围：A区东至杨柳河、南至温江双流界、西至温江与崇州界、北至成温邛高速，B区东至绕城高速、南至土龙路、西至五环路、北至物流大道。成都医学城按产城一体与城市规划建设，配套建设有110KV变电站3座、220KV变电站1座、污水处理厂1座及科技孵化器、人才公寓等基础设施。截止2018年底，园区聚集工业企业1500余户，其中规上工业企业193户。2018年园区规上工业企业工业产值408亿元，同比增长12.7%,营业收入386.87亿元，同比增长7.97%,实现利润27.78亿元，同比增长13.4%。授牌情况：先后获得"四川省生产性服务业功能示范区”、“知识产权试点园区”、“电子商务示范基地”、“模范劳动关系和谐工业园区”、“中国生物医药最具特色园区”、“中国最佳医疗健康产业园区”、“天府新坐标”、“全市先进基层党组织”等多项称号。
17	成都新经济活力区	---	成都市高新区天华二路219号天府软件园C区成都当代美术馆	104.078037,30.547806	成都市	其他重点园区	经开区	智能装备,新一代网络技术,医药健康	数字文创、5G和人工智能	《成都市城市总体规划（2016—2035年）》明确将成都高新区南部园区打造成为成都新经济活力区，致力于打造具有全球影响力的新经济策源地和活力区。成都新经济活力区规划面积87平方公里，东至锦江和成自泸高速路；南与天府新区成都直管区及双流交界（天府大道以东区域以海昌北路为界，天府大道以西区域以天府软件园为界）；西与双流、武侯交界（绕城内至庆安片区，绕城外以成昆铁路为界）；北至一环路南三段及火车南站，涵盖瞪羚谷、骑龙湾、AI创新中心、中国一欧洲中心、新川创新科技园、天府软件园等产业社区。2018年12月17日，成都高新区发布《成都新经济活力区高质量发展三年行动方案（2018-2020）》。2018年,成都新经济活力区培育种子期雏鹰企业520家、瞪羚企业60家'独角兽企业3家（潜在独角兽企业30余家）、平台生态型龙头企业1家。
18	成都电子信息产业功能区	---	成都市金牛区天目路2号	103.98221,30.734211	成都市	其他重点园区	高新区	集成电路与新型显示	集成电路、新型显示产业	成都电子信息产业功能区（成都髙新区）东至金牛区交界线、天辰路，南至西源大道，西至绕城路生态圈，北至西区大道。区内有合作、西园2个街道办事处，现有常住人口约30.6万人。区内设立成都高新综合保税区，面积4.68平方公里。保税区现有企业36家，从业人员8万余人。园区已汇聚了众多世界500强企业，入驻的英特尔、格罗方德、德州仪器、富士康、京东方、深天马、戴尔、联想、华为、西门子等一大批国际国内知名公司已成为最具代表性和活力的企业。现有19所高等院校，主要高校均设有电子信息产业相关院系，在校学生约25万人，占成都市高校学生总人数33%；有各类实验室、工程中心、技术中心等科研机构249个, 其中国家级29个，具有强大的研发、设计、实验能力，已形成了建设具有国际影响力的创新基础。现有公共 配套变电站11个（不含重大企业专用变电站）,幼儿园27所，小学4所，初高中7所。2018年，成都电子信息产业功能区（成都高新区）123家规模以上电子信息制造业企业累计实现产值 3000.5亿元，同比增长20.41%,产值总额占成都髙新区工业产值规模的84%；实现二业增加值552.05亿元， 同比增长10.08%。电子信息产业固定资产投资额超过225亿元。实现进岀口总额3115亿元（不含双流园区）,同比增长31%,占全省外贸进出口总额的52%。
19	成都轨道航空产业功能区	S519001	四川省成都市新都区	104.240073,30.714617	成都市	省级园区	高新区	轨道交通	轨道交通、航空产业	成都轨道航空产业功能区的前身是成都新都工业园区，成立于1992年，是四川省人民政府批准成立的省级重点开发区，四川省成长型特色产业园区（即“51025”工程）中的500亿园区之一。功能区地处全市“中优”、“北改”、“东进”战略叠加区，总规划面积50.89平方公里，核心区面积27平方公里，其中石板滩社区四至范围东、南边界为新都区界，西至成南E线，北至三木路北侧规划道路，主城社区四至范围西至宝光大道，东、北至青白江-新都行政边界，南至锦水河东路、锦水河西路。功能区拥有雄厚的科研及技术支撑，良好的“校院企地”合作对接机制，已有74家企业与高校、院所共建科研项目，拥有4个国家级重点实验室，6个国家级技术中心，1个博士后工作站，9个院士工作站，46个省市级研发机构。截至2018年底，园区共有企业392家,其中世界500强企业9家，中国500强企业12家，民营500强企业1家，上市公司31家，国家认证的高新技术企业47家。完成固定资产投资89.56亿元；实现全口径税收20.18亿元，同比增长10.22%。其中，园区160家规模工业企业，实现工业总产值350.34亿元，同比增长16.6%；工业增加值94.5亿元，同比增长13.55%O园区获得“全国模范劳动关系和谐工业园”、“四川省新型工业化产业示范基地”、“四川省知识产权试点园区”等称号，2018年成功创建省级高新技术产业园区、国家新型工业化产业示范基地、国家级绿色园区。
20	成都智能应用产业功能区	S517047	成都市崇州市崇阳大道中国五冶技工学校崇州校区西北侧约280米	103.703629,30.638126	成都市	省级园区	经开区	大数据	电子信息产业、智能家居产业及大数据和人工智能产业	成都智能应用产业功能区（成都崇州经济开发区）成立于2005年，2010年5月升格为省级经济开发区。规划面积20.4平方公里，已建成面积约16.8平方公里，四至范围：东至黑石河，西至世纪大道，南至西江河，北至成温邛高速路。园区配套设施完善，建有国家级产品质量监督检测中心2个（家具、鞋类），国家地方联合工程实验室2个，国家级企业技术中心1个，大数据人才公寓一处,青年（大学生）创业园一个，工业污水处理厂一座（日处理能力4万吨，一期日处理能力为2万吨，已投运；二期日处理能力是2万吨，正在建设中），110KV变电站4座，220KV变电站1座（在建）。截止2018年底，园区签约企业355户，其中规上工业企业109户，2018年园区规上工业企业实现工业总产值290.2亿元，同比增长19.4%；主营业务收入278.4亿元,同比增长19.4%；利润总额16.5亿元，同比增长13.7%。成都智能应用产业功能区（成都崇州经济开发区）先后荣膺“中国板式家具产业基地”、“四川省家居产业知名品牌示范区”、“四川省知识产权园区”、“四川省信息安全示范园区”、“国家新型工业化产业示范基地（大数据）”。
21	成都天府国际生物城	---	成都市双流区明德路凤凰家园	104.000512,30.434582	成都市	其他重点园区	经开区	医药健康	“生物医药、生物医学工程、生物服务、健康新经济”四大主攻方向的生物产业	2016年3月14日,成都市高新区管委会与双流区政府签订合作协议，双方共建成都天府国际生物城（以下简称国际生物城）。国际生物城总规划面积约44平方公里，起步区面积约9.1平方公里；东至锦江，西至区界西路,南至第二绕城高速绿化保护带（生物城辖区含生物城污水处理厂）、北至正公路、成花铁路绿化保护带。国际生物城以建设具有国际竞争力和区域带动力的现代生物产业体系为主攻方向，以加快建设生物产业功能区为抓手、以构建“4+1+1”生物产业生态圈为支撑、创新生态链为路径，全力推动建设。配套建设包含了创新产业载体、幼儿园、学校、社区综合体、标准厂房、人才公寓与园区配套住房、污水处理厂等，营造便捷 精致的10分钟生活圈,7x24小时健康生活方式。国际生物城目前正处于初期建设过程中，暂无工业企业进驻。在德勤与生物谷联合举办的中国生物医药园区评选中，获评中国生物医药最佳园区和最具潜力园区。先后取得了 “药品上市许可持有人制度试点示范区”、“药物及器械临床评价与研究专业委员会常设办公室”、“国家科技兴贸创新基地（生物医药）”、“促进科技和金融结合试点地区”、“国家自主创新示范区”、“新药专项成果转移转化试点示范基地（四川）”、“高新区新型人才工作站”等的挂牌。
22	成都科学城	---	四川省成都市天府新区	104.08779,30.408372	成都市	其他重点园区	工业园区	智能装备	新一代人工智能为特色的数字经济	成都科学城产业功能区位于天府新区成都直管区，规划面积125平方公里，涉及正兴街道、兴隆街道、永兴街道、煎茶街道、籍田街道、合江街道和白沙街道7个街道，四至范围为东至科信路，西至益州大道，南至科学城南路，北至鹿溪河生态区的城市建设区以及鹿溪智谷全流域的美丽乡村地区，其中73平方公里起步区域规划布局新经济和人工智能产业园、数字经济和5G产业园、重大科学基础设施园区、省级重大功能预留区（军民融合产业园）、高端商贸经济产业园和未来科技产业园等6个产业社区。
